temp,dew,humidity,precip,cloudcover,solarradiation,solarenergy,uvindex
20.5,12.4,64.1,0,57.5,189.8,16.2,7
20.5,11.4,59.8,0,59.2,186.3,16,7
21.3,11.3,56.1,0,12.5,183.7,15.9,7
21.6,12.6,59.5,0,27.7,154.8,13.5,6
19.9,7.6,51.3,0,65.1,199.6,17,7
17.6,-0.1,34,0,56.2,217.4,18.9,8
18.7,5.8,45.7,0,75.6,203.5,17.5,8
21.4,10.7,53.8,0,30.4,183.2,15.8,7
21.8,9.6,51.3,0,1.2,194,16.6,7
19.7,3.6,37.5,0,38.7,203.6,17.5,7
16.7,-0.1,35.2,0,40.4,211.9,18.2,8
17.8,6.5,51.6,0,58.2,196.3,16.8,7
20.6,9.8,50.8,0,54.4,174.8,15.1,7
23.3,12.7,55,0,34.8,181,15.5,7
21.9,7,40.9,0,0.8,198.6,17.2,7
20.8,6,39.8,0,0,204.1,17.6,7
21.6,4.2,35,0,0,208.4,17.9,8
17.3,-1.4,31.7,0,15.8,225.1,19.2,8
19.7,6.1,42.3,0,24.2,195.8,16.9,7
23.1,11.6,51,0,43.2,171.6,14.6,7
23.3,13.3,54.7,1.3,92.6,90.5,7.9,4
20.7,15.1,72.1,6.9,48.3,111.3,9.5,4
20.2,16.3,80.1,4.8,16.2,167.8,14.5,6
21.3,15.5,73.1,0,16.2,180.2,15.5,7
21.2,14.5,68.5,0,13.8,194.8,16.7,7
20.6,12,60.7,0,10.9,198.2,17.1,7
19.9,8.8,52.7,0,20.2,218.5,18.7,8
18.9,5.3,45.4,0,36.6,223.5,19.7,8
19.3,3.2,38.7,0,9.5,226.8,19.9,8
19.9,3.9,39.2,0,0,236.6,20.5,8
20,4.9,40.7,0,5,227.4,19.8,8
21.1,5.3,39.2,0,22.2,230.5,20,8
21.9,5.1,37.5,0,53.3,209.6,18.1,7
22.4,4.5,34.4,0,27.6,227.8,20,8
23,6.2,37.1,0,14.1,231.2,20.1,8
23.3,5.4,34.6,0,44.8,231.8,20.1,8
24.8,5.7,32.1,0,0,230.1,19.9,8
24.2,6.3,35.2,0,27.6,242.8,21,8
23.4,5.6,36.4,0,20.3,248,21.4,9
19.7,-2,26.8,0,28,260.4,22.4,9
19.6,-2.2,26.9,0,31.9,257.2,22.2,9
21,3,31.7,0,48.9,248.8,21.5,9
21.7,2.8,32,0,76.3,253.6,22,9
21.1,10.6,53,0,81,194.5,16.9,8
20.7,9.1,53.2,0,51.7,250.5,21.5,9
19.9,9.5,55.5,0.9,19.1,204,17.5,8
19.8,6.5,47.3,0,11.1,241.8,21,8
19.6,0.3,31.6,0,23.6,262.9,22.7,9
20.5,-2.4,24.3,0,75.4,268.4,23.2,9
23.4,0,23,0,26.2,263,22.8,9
24.9,3.5,26.8,0,6.3,250.6,21.4,9
24.6,10.8,42.5,0,27.8,175,15.2,7
23.9,11.2,49.1,0,13.2,245.8,21.1,9
24.6,7.6,34.7,0,20,237.1,20.4,8
26.2,13.5,47.1,0.5,25.5,225.8,19.4,8
28.2,13.7,44,3.3,51.2,218.2,18.9,8
27.3,15.4,52.1,5.5,41.4,226.9,19.6,9
24.5,12.8,53.3,2.2,8.2,253.4,21.9,9
21.9,8.4,48.5,0,0,273.2,23.5,9
20.5,3.9,39.8,0,0,279.9,24.2,9
20.3,2.6,36.2,0,0,282.3,24.5,10
21.6,3.4,34.2,1.2,2.7,278,24,9
22.1,11.2,52.3,4.9,38.8,236.1,20.4,9
21.9,14.5,65.9,0.6,68.1,162,14.1,6
23,15,62.8,0,32.2,221,19.1,8
23.9,14.4,59.7,0,8.3,259.8,22.6,9
24.1,15.5,60.4,0.7,45.8,181.2,15.8,7
25.1,16.6,63.2,4,25.1,244.3,21.1,8
25.6,16.2,61.3,0.9,15.6,274.1,23.7,9
25.8,11.4,46.2,0,1.8,285.7,24.5,9
26.2,9.8,39.7,1.2,15.6,280.7,24.4,10
26.9,17.5,60.3,7.8,35.3,241.5,21,8
28.6,16.2,51.8,0,3.7,285.1,24.7,10
29.7,13.6,40.5,0,7.9,278.8,24,9
29.1,10.2,34.2,0,0.2,288.7,25.1,10
29.3,7,26.3,0,24.8,288.2,24.9,10
28.7,8.2,29.2,0,2.3,289.5,25,10
28.3,-1,15.8,0,0,302.6,26.1,10
28.1,-2.7,14.5,0,0,301.6,26.1,10
27.9,3,24.7,0,0.1,306.1,26.3,10
27.4,8.4,37.6,0,0,304.7,26.4,10
29.1,8.1,31.1,0,9.8,303.7,26.2,10
29.9,8.2,28.9,0,10.8,291.1,25.2,10
29.9,9.1,31.2,0,13.4,291.9,25.2,10
30,6.6,25.1,0,16.1,300.6,26,10
31.7,8.4,26.1,0,33.5,286.2,24.9,9
31.5,9.1,28.3,0,10.4,292.5,25.3,10
31.1,5,21.3,0,24.3,296.6,25.7,10
31.6,6.9,23.3,0,0,300.2,25.8,10
31.4,5.5,20.9,0,0,289,25,10
30.3,6.5,26.3,0,0,313.4,27.3,10
29.1,5.3,25.7,0,0.1,313.2,27.2,10
30.1,5.2,23.5,0,0.1,311.1,27,10
31.6,2,17.2,0,20.4,319.7,27.6,10
32.4,1.9,15.6,0,11.8,307.7,26.8,10
33.2,5.1,18.7,0,0,299.5,25.8,10
31.7,8.5,24.6,0,33.5,185.7,16.1,7
31.7,5.9,22.7,0,11.5,273.1,23.6,10
31.3,5,21,0,1.9,302.2,26.2,10
30.3,2.9,20.4,0,0,319.5,27.7,10
30.3,3.3,23.3,0,1.5,325.4,28.1,10
30.2,2.4,22.4,0,0,323.2,27.7,10
31.2,4.6,21.7,0,21.6,321.1,27.6,10
31.2,8.7,28.8,0,2.7,315.3,27.2,10
32,9.2,27.7,0,28.1,317.1,27.4,10
32.9,11.3,31.4,0,25.8,312.3,26.9,10
32.7,13.8,36.3,0,47.3,304.6,26.1,10
32.9,13.2,35.5,0,74,289,24.8,10
31.6,12.2,34.1,0.6,90.3,233.1,20.1,8
33.1,11.5,28.7,3.4,42.1,302.1,25.9,10
33.6,8.6,23.3,0.4,32.2,313.3,27.1,10
33.1,8.8,24,1.9,20.2,298.5,25.8,10
33.7,10.4,27.5,0,15.2,309.9,26.6,10
33.3,5.4,19.4,0,14.9,327.7,28.1,10
33.2,6.9,22.4,0,27.3,327.3,28.1,10
33.4,7.5,23.4,0,58.3,308.1,26.7,10
34.5,7.7,21.9,0,13.8,329.2,28.3,10
35.2,8.3,21.5,0,10.7,313.5,27,10
34.8,11.4,27.8,0,24.2,278.7,24.1,9
34.8,12.3,29.4,0.3,22.2,289.6,25.1,10
34.3,10.3,27.7,0,1.9,320.6,27.8,10
34.3,12.1,29.2,0,4.8,308.1,26.5,10
33.4,11.4,29,0,17,290.9,25.2,10
32.9,12.6,34.3,0.3,6.2,321.4,27.7,10
34,13.3,32.7,0,7.1,305.2,26.1,9
35,10.8,25.1,0.3,16.6,314.2,27.2,10
35.8,9.7,22.3,1.4,30.2,307.4,26.6,10
35.3,9.5,21.7,0.3,51.1,246.1,21.2,8
35.1,10,23.4,0,44.7,289.6,25,10
32.8,12,32.6,1.3,7.5,329.3,28.3,10
32.1,13.1,37.4,0,0.8,336.5,29.1,10
32,14.7,41,0,0.2,325.8,28.1,10
32.4,14.6,39.1,0,7.4,315.1,27.2,10
32.7,14.3,37.9,0,3.3,322.6,27.7,10
32.8,15.6,40.2,0,2.6,323.3,27.9,10
32.9,14.9,36.8,0.1,8,317.9,27.5,10
33.4,16.8,40.3,3.3,16.7,309.3,26.7,10
35,15.3,33.1,0.1,26.8,317.4,27.5,10
36.3,12.4,25.9,0,65.3,298.3,25.7,9
36.4,10.3,21.5,0,63.8,270.2,23.2,9
35.8,8.9,20.8,0,53.4,258.8,22.4,8
35,11.8,28.8,0,31.5,335.1,29,10
34.7,12.1,31.8,0,20.6,338.2,29.3,10
34.8,13.3,33.2,0,8.7,336.9,29.4,10
35.7,13.7,30.7,0.2,21.9,321.9,27.9,10
36.1,15.5,33.4,0,38.6,308.6,26.5,10
37.1,13.8,28.3,1.6,60.6,316.6,27.3,10
36.1,16.7,35.4,1.8,86.2,285,24.7,9
35.4,17.3,39.7,0.1,58.6,312.1,27,10
34.4,16.8,40.9,0,46.2,318,27.6,9
34,17,42.7,0,28.3,334.5,28.9,10
35,17.3,40,0,15.8,324.8,28.1,10
36.9,15.2,31.8,0,15.1,325.2,28.1,10
38.1,13.5,26.9,0.5,33.7,319.3,27.5,10
36.5,17.9,37.3,0.9,47.4,295.6,25.6,9
36.7,16.6,33.6,0,22.7,307.4,26.7,9
35.4,16.8,35.6,0,37.4,265,23,8
35.1,17.4,39.9,0,31.6,282.6,24.5,8
35,16.6,38.8,0,17.2,299.3,25.9,9
34.4,17.3,41.2,6.1,43.1,320.4,27.7,10
32.9,21.5,54.2,5.7,31.1,263,23,8
33,22.2,56.1,3.2,33.7,276.2,23.7,8
32.7,19.7,49.8,0,46.2,329.4,28.5,10
32.7,19.4,48.7,0,52.4,310.3,26.8,9
32.5,20.3,51.5,0,22.9,306.4,26.5,9
32.4,20.8,53.3,1,31,295.8,25.7,9
32.4,21.8,56.4,0.7,18.5,280,24.2,9
32.1,21.8,57.5,0,18.6,268.4,23.2,8
32.3,20,51.9,0,39.6,280.4,24.4,9
32.9,21,52.8,0.8,59.4,296.2,25.6,9
32.1,20.9,54.7,0,55.9,255,22.1,8
32.2,21,55.2,0,42,306.9,26.5,10
31.9,20.9,55.5,0,30.2,317.6,27.5,10
31.5,21.2,57.7,0,15.1,314.5,27.3,10
31.7,20.8,56.1,0,41.4,316.7,27.5,10
31.8,20.5,54.9,0,22,310.8,26.9,10
32.3,19.9,51.8,0,19.9,306.7,26.5,10
32.6,19.9,50.9,0,65.3,287.7,25.1,9
32.7,19.3,48.9,0,69.7,286.4,24.8,9
32.2,19.3,50.9,0,70.6,318.6,27.5,9
32,19.1,50.8,0,67.5,313.4,27.2,10
32.1,20.3,53,0,33.9,302.2,26,9
32,20.3,53.8,0,33.5,320.2,27.6,10
31.6,20.9,56.5,0,47.9,302.5,26.3,9
32.1,20.3,53.7,0,64.7,313.7,27.2,10
32.9,19.5,49.6,0,28,302.5,26.2,9
31.8,20.5,53.5,3.1,61.9,196.5,17,7
31.2,21.4,58.3,2.9,52.5,225.2,19.4,8
30,22,64,8.6,60.5,220,19.1,7
29,22.4,69.2,14.1,48.2,218.7,18.8,6
28.7,22.4,71,5.9,77.5,209,18.3,7
29.6,22.6,69.1,2,49.9,263.4,22.7,9
28.6,23.4,74.9,5.9,77.5,154.9,13.3,6
29.1,23.3,73.1,3.4,75.7,217.8,18.8,8
28.1,22.8,74.4,0,88.1,131.4,11.2,4
27.9,23.5,78.1,14.8,91.2,141.6,12.1,5
27.3,24.7,86,23.6,94.6,108.2,9.3,4
27.9,24.4,82.2,7.7,95.4,143.7,12.6,4
27.6,24.1,82.5,11.6,90.5,145.1,12.5,5
26.9,23.9,84.7,8,78.9,144,12.4,5
27.2,23.2,80,1.4,74.7,190.8,16.5,8
27.5,22.8,77.4,3.4,84.6,255.3,22,8
