temp,dew,humidity,precip,cloudcover,solarradiation,solarenergy,uvindex
28.3,23.7,76.8,10.3,90.3,259.1,22.5,9
28.6,24.3,78.4,8,95,251.2,21.6,9
28.4,24.3,79.6,43,97.9,247.7,21.5,8
27.7,24.4,83,19.9,97.3,222.1,19.2,8
27.7,24,81.5,47,98.3,256.2,22,9
28,23.6,78.2,1.3,98.2,244,21.1,8
29.6,23.5,71.8,0,90.3,266,23,9
28.4,23.7,76.6,6.4,46.7,247,21.4,9
28.3,24.2,79.3,4.1,72,267.7,23.1,9
28.3,24.4,80.2,10.1,85.8,255.1,22.1,9
28.1,24.3,80.3,36.7,80.7,219,18.9,8
28.1,23.9,79,1,93.5,178.6,15.4,7
27.8,23.9,80.5,9.7,75.3,243.8,21.1,9
27.8,23.4,78.7,1.4,75.8,253.9,21.9,9
28.4,23.4,75.3,11.4,81.6,232.8,20.1,9
28,23.8,78.9,10.1,82.7,211.1,18.1,8
27.9,23.8,79.1,0.4,99.5,114.7,9.8,4
27.5,23,76.9,0.8,100,142.2,12.2,6
27.7,23.4,78.2,0.6,99.6,195.9,16.9,7
28.4,23.1,74.3,1.2,99.2,208.9,18.1,7
27.6,22.1,72.8,0.2,96.3,185.9,16,6
27.9,22.8,74.9,1.7,88.5,223.8,19.3,9
28.1,22.7,73.6,0.5,79.4,231.5,19.9,8
28.5,23,73.1,1.3,62.7,238.8,20.4,8
28.1,24,78.9,8.9,52.2,231.9,20,8
27.6,24.3,82.6,6.3,97.9,171.1,14.8,6
27.2,23.8,82.5,10.4,94.9,183.7,15.9,7
28,24.1,80.1,7.1,77.6,221.2,19.1,9
27.9,24,80.1,5.3,56.4,240.7,20.6,8
28.4,23.7,76.7,0.4,66.5,233.1,20.1,8
28.5,23.5,75.7,40,27.7,268.9,23.2,9
28.7,23.1,73.3,2.3,16.6,259.1,22.2,9
29.1,23,71.4,1.5,44.8,267.9,23.1,9
29,22.8,70.3,2.7,45.6,273.9,23.8,9
29,22.2,68.2,0,70.8,265,22.9,9
29,21,64.1,0.1,83.8,282.1,24.5,10
28.6,19.8,61.1,0,97.8,281.9,24.4,10
28.9,21,63.5,0.7,92.1,273.9,23.6,9
28.2,22.6,72.1,5.2,47.2,237.7,20.4,9
28.8,23,71.9,3.6,91.7,199.4,17.4,7
29.4,22.4,67.6,0.1,98.7,230,19.8,7
29.2,21.9,66.2,0.3,86.8,257.7,22.2,9
29.6,21.2,62.7,0.1,52.6,270.5,23.3,9
29.5,22.2,65.9,2.4,54.8,263.3,22.6,9
28.9,22.9,70.6,9,81.5,177.4,15.3,8
29.3,24.1,74.2,3.9,96.3,157.3,13.7,8
28.7,23.4,74.1,7.3,84.5,198.8,17.2,8
27.9,24.2,80.8,9.7,98.1,122.6,10.7,7
27.9,22.8,74.4,6.9,96.3,167,14.4,7
27.4,22.9,77.5,1,85.7,168.1,14.3,7
27.7,24.1,81.7,9.8,95.5,196.2,17.1,9
27.2,23.9,83.4,4,92.9,169.7,14.8,7
27.7,24.1,81.9,13.8,82.8,200.7,17.2,8
