temp,dew,humidity,precip,cloudcover,solarradiation,solarenergy,uvindex
32.6,24.1,62.9,0.8,40.8,285.3,24.4,9
31.6,24.1,65.8,0.4,51.9,279.9,24.2,9
32.2,24.6,65.7,0.1,17.4,281.4,24.3,9
32.4,24.1,63.2,0,15.7,288.3,24.8,9
32.6,24.9,64.8,0.4,51.4,272.1,23.7,8
33.5,24.7,61.3,0.3,44.7,259,22.4,9
34.1,24.6,59.5,1.4,22.8,275.9,23.7,9
34.8,23.9,55.9,0,39.1,277.7,23.9,9
34.8,24.3,56.4,0.6,28.6,266,22.8,9
34.9,24.7,57.9,0,63.3,284.4,24.6,9
31.7,26.5,74.6,1.6,81.3,232.1,19.9,9
29.1,25.5,81.8,4,97.5,171.3,14.8,7
28.3,25.7,86,22.7,99.8,139.2,12.2,5
28.5,25.4,84.1,23.5,97.4,171.8,14.9,6
28.1,25.6,86.7,32,83.7,147.7,12.7,7
29.1,26.1,84.3,3.5,87.3,151,12.9,6
29.4,25.9,82.1,1.6,79,229.4,19.8,8
30.1,25.6,77.3,0.9,33.5,246.4,21.2,8
30.6,25.5,75,0.5,38.8,240.8,20.7,8
29.8,25.6,78.9,1.5,39.6,233.6,20.2,7
28.8,25.4,82.2,8.9,94.7,153.4,13.3,5
27.6,25.9,90.6,7.1,97.6,131.5,11.4,5
27.8,26.1,90.7,3.5,99.6,119.1,10.1,5
27.9,26.1,89.9,15.6,98.3,71.7,6.1,2
28.1,26.2,89.7,5.4,98.9,58,4.9,2
27.4,25.7,90.2,24.1,97.3,55,4.6,2
26.7,25.5,93.2,41.4,100,42.5,3.8,2
26.5,25.1,92.2,29.8,97.9,108.4,9.4,6
27.8,25.7,88.5,5.1,82.4,135.4,11.6,6
29.1,26.1,84.4,3.5,56.7,194.6,16.8,7
28.7,25.9,85.6,7.8,63.2,194.9,16.8,7
28.8,25.8,84.3,14.4,63.9,218.3,18.9,8
29.3,25.7,81.5,6,53.1,232.1,20.2,8
30.2,26,79.6,4.6,92.1,253.8,22.1,8
28.6,26,86,24.1,99.8,98.3,8.4,4
28.2,26.1,88.7,26.8,99.9,85.1,7.3,4
27.7,25.9,90.1,38.3,99.7,95.6,8.4,4
28,26.3,90.5,9.5,99.9,114.2,9.8,6
27.4,25.8,90.9,10.2,100,141.3,12.3,4
26.1,25.3,95,76.1,100,39.9,3.5,1
27.6,25.9,90.5,30.6,94.8,159.8,13.9,6
29.3,26.1,84.1,0.6,59.9,244.3,20.9,8
30.3,27,83,5,52.6,216.4,18.7,7
30.9,27.4,82.5,11.7,98.5,186.6,16.3,7
28.6,26.3,87.6,20.2,100,144.2,12.3,6
27.5,25.8,90.8,28.4,100,79.2,6.9,4
27.2,25.2,89.2,19.7,98.8,112.2,9.7,6
28.2,25.8,87,4.2,95.8,185.2,16.1,6
28.4,25.8,86.4,17.7,98.9,151.2,13,5
27.1,25.8,92.5,21.3,99.5,82,7,3
28,26,88.8,22.8,95.8,143.5,12.3,6
27.5,25.8,90.8,16.6,99.6,121,10.5,5
28,25.6,87.1,9.2,99.3,128.2,11.2,6
27.8,26,90.5,28.8,99.7,77.4,6.7,4
27.3,25.7,91.1,16.3,93,110.5,9.6,6
29.2,25.2,80.2,5.4,42.9,242.8,20.8,8
28.1,25.1,84.3,55.1,84.1,198.1,17.2,9
28.6,26,86.4,24,88.8,210.7,18.2,8
30,25.3,76.4,1.9,81.7,259.8,22.7,8
29.9,25.3,76.7,6.4,91.1,233.2,20.1,9
27.7,24.7,83.8,10.3,95.2,150.6,13.1,5
25.1,24,93.9,83.1,99.9,25.4,2.1,1
25.5,24.8,95.8,20.7,99.4,53.5,4.6,3
27.6,25.5,88.7,8.3,94.9,173.9,15.2,7
29.6,25.8,80.9,1.1,96.3,219.5,19,7
29.7,26.1,81.8,0.4,99.4,229.5,19.8,8
29.8,25.2,77.1,0.3,99.3,222.7,19.1,8
29.9,26.1,80.5,6.7,99,200.8,17.4,8
28.8,26.7,88.7,14.8,99.2,116.5,10.1,5
29.7,26.4,82.9,4.8,63.4,220.1,19,7
30.2,26.8,82.8,12.4,74.3,181.6,15.9,7
29.9,26.4,82,6.2,63.2,204.2,17.7,7
29.2,26.3,84.5,2.2,76.1,178.8,15.6,6
29.1,26.3,85.2,5.2,78.6,155.6,13.5,6
29.8,26.4,82.3,1.4,97.7,199.7,17.3,8
29.4,26.7,85.5,7.4,99.3,181.2,15.7,7
29.2,26.7,86.7,14.9,97.4,172.2,14.9,7
28.4,26.1,87.7,16.6,99.6,118.6,10.1,6
28.2,26.1,88.9,10.7,98.9,108.1,9.3,4
28.4,25.7,85.4,20.3,95.6,141.8,12.2,6
27.9,25.5,87,24,100,91.3,8,3
27.4,25,87,4.4,99.5,120.6,10.5,5
28.1,25,83.4,2.5,87.4,217,18.6,7
28.7,25.6,83.7,5.1,95.9,197.9,17.1,8
29.1,26.2,84.9,4,99.7,156.5,13.4,6
29.1,26.4,85.6,11.9,98.6,109.7,9.4,4
29,26.6,87.5,11.4,99.9,121.3,10.4,4
29,26.1,84.6,1.8,99.2,202.3,17.7,7
28.3,26.3,89.2,6.8,96.4,113,9.8,4
28.8,27,90.3,9.7,99.6,122.4,10.6,6
29.1,27,88.8,15.3,100,104.6,9.2,3
28.6,26.2,87.2,14.9,99.9,140.1,12,6
