temp,dew,humidity,precip,cloudcover,solarradiation,solarenergy,uvindex
89.5,72.7,61,0.164,49.5,242.8,20.9,8
90.5,70.2,55.9,0.056,24.4,298.6,25.8,10
90.8,70,54.2,0,46.3,253.7,21.9,8
92,69.1,49.8,0,49.7,252.1,22,8
90.7,70.8,54.7,0,62.3,253.3,21.9,8
90.9,70.9,54.7,0,65.4,258.1,22.1,8
88.5,71.5,59,0.02,82.4,186.3,15.9,6
88.8,69.7,55.3,0.108,51.4,246.1,21.2,8
91.1,70.4,54.8,0.084,37,267.3,23,9
93.7,66.7,44.8,0,65.5,270.8,23.3,10
93.8,67.1,44.8,0.08,48.3,240,20.8,9
91.3,71.5,55.9,0.092,69,254.3,21.9,9
87.3,73.2,64.5,0,82.1,169.7,14.6,5
88.9,72.1,59.7,0.166,64,271.8,23.5,9
85,74.4,71.6,0.81,40.1,247.4,21.3,8
86.2,73.2,67.4,0.14,64.3,223.5,19.3,7
82,75.4,80.7,1.819,76.9,176.3,15.1,7
79.8,77.3,92.2,6.629,88.7,110.9,9.7,4
80.4,77.5,90.9,2.431,81.2,150.4,12.9,5
81.8,77.4,87.2,0.291,80.2,203,17.5,7
82.5,77.1,84.5,0.095,80.2,244,21,8
83.5,77.4,83.1,0.024,76.6,256.5,22.1,8
84.1,77.8,82.5,0,85.7,217.3,18.7,7
84.1,77.4,81.4,0.461,88.3,150.8,12.9,5
81.9,76.9,85.5,0.292,90.1,154,13.5,5
83.2,77.6,84.1,0.727,90.2,243.7,21,8
81.1,77.8,90.1,1.526,89.3,128.2,11.1,4
81.4,76.7,86.5,1.245,88.5,169.1,14.7,6
80.5,76.6,88.7,0.491,83.5,135.2,11.7,5
82.4,76.8,84.2,0.248,89.3,215.4,18.6,8
82.1,76.6,84.2,0.192,91.9,155.5,13.5,6
83.3,76,80,0.14,68.5,230.2,19.9,8
82.7,76.1,81.6,0.144,91.8,155.6,13.5,5
80.9,76.2,86.2,0.261,84,141.9,12.4,5
80.5,75.3,85.1,0.22,64.9,312.7,26.9,10
80.1,74.7,84.8,0.246,22.5,314.6,27.4,10
80.4,75.1,84.9,0.088,31.5,278.3,24,8
81.1,75.4,83.8,0.02,33.3,255.8,22,8
82.5,75.8,81.5,0,25,301.1,26,9
83.4,76.8,81.6,0.036,38,239,20.5,8
82.3,76.7,83.9,0.807,68.9,210,18.1,7
81.1,77,87.9,0.495,86.3,163,14.1,6
81.8,77,86.4,0.168,90.4,260.5,22.3,8
82.5,78.1,87.5,0.252,94,235.6,20.3,9
81.7,77.3,87.4,0.26,82.3,231.9,20,8
81.3,76.9,87.2,0.475,80.3,221.4,19,7
82.3,77,84.8,0.132,87.7,276.8,23.9,9
81,77.5,89.4,0.096,92.4,119.7,10.4,4
81.4,77.8,89.2,0.184,92.9,125.1,10.8,5
81.6,77.3,87.4,0.667,93.9,151.7,13,5
82,78.2,88.8,1.419,95.6,165,14.4,6
80.5,76.4,88,1.15,86.7,224.6,19.3,8
78.3,73.9,87.1,0,84.5,228,19.9,8
79.8,74.8,85.8,0.036,72.3,243.5,21,8
80.5,75.9,86.7,0,77.8,255,22.1,8
80.9,75.3,84.1,0,72.2,266.9,23,8
81.8,76,83.7,0.06,94.8,257.7,22.3,8
80.7,76.9,88.5,0.06,93.9,140.7,12.1,5
82.6,77.6,85.7,0.02,71,235.4,20.2,8
83.7,77,81.5,0,87.4,203.5,17.6,7
85,77,78.2,0.367,61.6,264.6,22.8,8
86.3,77.5,76.2,0.199,94.8,253.8,21.9,8
85.7,79.2,81.8,0.176,94,168,14.6,6
83.7,78.8,86.2,0.116,92,214.1,18.5,7
80.8,77.8,90.8,0.092,96.7,86.1,7.4,3
82.5,78.5,88.1,0.609,90.8,152.8,13.2,5
81.8,78.8,91.3,0.815,93.3,126.4,10.8,5
80.6,77.6,90.8,1.667,94,110.9,9.7,3
79.8,76.8,90.9,2.237,87.3,113.3,9.9,3
80.5,77.2,90.2,0.691,92.3,169,14.7,6
80.3,77.5,91.3,1.346,94.7,129.1,11.1,4
80.6,77,89.2,0.739,94.9,184.3,15.8,6
79.9,77,91.4,1.175,87.4,185.7,16.2,8
79.7,77.3,92.7,1.09,88.1,157.7,13.6,6
79.5,77,92.3,0.424,91.4,159.2,13.9,5
79.6,77.1,92.4,0.3,92.9,158,13.7,5
79.2,77,93.2,1.13,95.8,99.1,8.5,3
78.7,75.6,90.7,0.641,94,119.6,10.4,4
78,74.6,89.9,0.725,87.3,160.5,13.9,6
76.3,73.7,91.9,0.567,71.6,169.8,14.7,5
79,75.2,88.7,0.052,40.7,270.4,23.5,9
79.9,75.6,87.7,0.004,78.9,250.6,21.4,9
79.4,76.6,91.4,0.205,90.3,144.6,12.5,5
80,76.3,89.1,0.443,90.9,184.2,16,7
79.7,77.2,92.6,0.26,89.9,164.2,14.2,6
78.5,76.6,93.9,0.192,90,115.4,9.8,4
79.4,76.8,91.9,0.345,73.1,222,19.1,8
78.3,76.4,94.1,0.22,85.8,119.9,10.3,4
78.9,76.4,92.3,0.124,66.5,207.6,17.7,7
79.9,77,91.2,0.064,44.1,274.8,23.7,9
79.6,77.2,92.5,0.156,82.8,178.1,15.2,6
79.3,77.2,93.3,0.253,80.6,145.3,12.4,5
78.6,76.6,93.8,0.296,74.8,163.3,13.9,8
78.4,76,92.8,0.63,72.3,163.8,14.2,5
78.2,76.1,93.5,0.487,77.9,122.2,10.5,4
80.1,76.5,89.4,0.414,25,279.1,24,10
80.4,77.2,90.4,0.224,68.3,259.1,22.5,9
79.7,77.5,93,0.624,88.2,157.5,13.6,6
80.2,77.3,91.4,0.495,71.8,224.9,19.4,8
79.1,77.6,95.4,1.703,92.4,84.2,7.5,3
79,77.6,95.7,1.921,93.5,90,7.6,3
79.1,76.6,92.2,0.506,81.2,233.2,20.1,8
79.6,76,89.3,0.068,70.9,249.4,21.5,9
81.6,76.9,86.3,0,49.6,240.1,20.8,8
82.7,76.6,82.3,0.672,85.3,187.7,16.1,6
80.8,75.9,85.4,0.571,68.6,209.8,18,7
79.7,76.6,90.8,0.955,90.1,222.4,19.1,8
79.3,76.3,91.1,0.503,94.4,176.3,15.2,7
78.8,76.6,93,0.3,88.6,111.7,9.8,4
79.9,76.4,89.7,0.622,77.7,188.8,16.3,7
80.1,76.7,89.7,0.16,91.9,185.5,16.1,7
79.6,76.8,91.5,0.024,70.9,187.2,16.3,7
78.7,76.4,93,0.593,76.8,173,14.8,6
79,76.8,93.2,1.709,78.8,166.2,14.4,6
79.6,77.3,92.9,0.972,88.7,184.4,16,7
78.6,77,94.9,0.36,88.3,123.8,10.8,4
79.7,76.9,91.3,0.112,70.2,230.7,20.1,8
77.9,74.8,90.6,0.1,89.7,152.4,13.2,6
77.9,74.7,90.3,0.016,50.3,245.7,21.2,9
77.4,73,87.2,0,87.5,255.6,22,9
77.7,73.4,87.4,0,20.3,244.8,21.3,9
78.1,73.6,86.9,0,47.8,252,21.7,9
77.4,72.5,86,0,55.6,261.4,22.5,9
76.8,71.7,85.6,0,59.5,259.3,22.4,9
77.4,72.7,86.4,0,22,247.4,21.5,8
77.7,72.4,84.7,0.012,14.3,251.3,21.8,9
78.4,72.3,82.6,0.044,41.4,247.4,21.3,8
79.1,74.3,86.1,0.164,43.8,241.5,21,8
79.3,74.3,85.3,0.615,27.8,211,18.3,7
79.9,73,80.2,0.112,52.3,216.4,18.7,8
79.9,72.9,79.7,0.028,39.9,220.8,19,7
80.1,73.6,81.3,0,42.9,189.7,16.4,7
79.5,73.6,83,0,42.5,205.8,17.8,7
78.2,71.5,80.9,0.016,35.5,240.4,20.8,8
78.8,72.4,81.9,0.024,71.3,219.7,19,8
77.1,70.1,80.4,0,85.5,236.2,20.3,8
77.1,69.2,77.9,0,45.3,245.3,21.3,9
77.3,68.9,76.7,0,49.4,241.4,20.8,8
76.7,68.8,77.6,0.024,37.5,233.7,20.2,8
76.8,71.3,83.7,0.076,59.9,211.7,18.3,8
75.6,72.1,89.4,0.195,67.4,152.6,13.3,6
76.7,71.3,84.3,0.462,55.2,201.3,17.1,8
77.1,71.1,82.4,0.128,46.7,159.3,13.8,6
75.7,69.6,82.1,0.024,34.6,178,15.4,7
74.5,65.3,74.5,0,0.9,231.9,19.8,8
74.7,65.2,73.4,0,16.5,231.9,20.1,8
74.8,64.7,71.9,0,23,230.7,19.8,8
73.2,63.5,73.3,0,1.2,230.8,20.1,8
72.5,64.1,76.4,0,0,218.4,18.9,8
71.5,63.6,77.6,0,0.3,218.3,18.8,8
71.1,59.3,67.2,0,0.1,222.6,19.3,8
71.5,59.7,67.5,0,2.5,215,18.6,8
72.5,61.3,68.7,0,11.3,204.9,17.9,8
