temp,dew,humidity,precip,cloudcover,solarradiation,solarenergy,uvindex
33.6,24.5,61.2,0,51.7,230.1,20,7
33.9,24.8,61.8,0,60.4,212.6,18.5,7
34.5,24.6,59.2,0,64.2,233.1,20,8
32.1,25.2,68.6,13,71.6,165.2,14.2,6
30.7,25.1,72.9,0.3,79.1,102.3,8.7,3
31.7,24.3,67,1,72.6,94.9,8.2,3
30.8,23,65.7,0.2,85,97.3,8.5,4
31.4,23.9,66.6,8,80.5,128,11.1,4
29.7,24.4,73.7,3.601,88.9,100.1,8.8,3
30.2,23.9,70.6,0.2,78.6,190.8,16.5,6
29.9,24.5,74.1,6.679,75.2,292.7,25.2,9
28.3,25.8,86.8,22.451,89.2,129.7,11.1,5
29.4,25.3,79.7,3.734,88,187.4,16.2,7
29.8,25.3,77.7,3,87.9,130.7,11.4,5
29.9,24.4,73.7,5.636,83.4,154.9,13.3,5
29.7,25,76.8,0.073,82.3,176.8,15.2,6
30.3,25,74.6,3,76.6,187.5,16.3,6
30.1,24.7,74.1,2.201,76.2,210,18.2,7
29.6,25.3,78.8,33.751,88.9,214.8,18.5,7
28.9,25.7,83.1,9.539,89.4,102.4,8.7,4
29.5,25.3,78.9,0.533,82.6,127.4,11.1,4
29.8,25,76.6,0.073,81.9,150.4,13.1,5
30.4,24.7,73.1,0,89.7,123.2,10.7,4
28.4,24.3,79.2,7.734,93.3,100.5,8.8,3
30.1,24.4,73.5,0,81.1,200.1,17.4,7
31.3,24.3,68.1,0,74.8,232,19.9,8
31.6,24,66.1,0,74.2,239,20.5,8
31.2,24.5,68.8,0.293,74.8,159.1,13.8,5
31.6,24.9,70,13.56,80.5,204.5,17.7,7
29.9,25.1,76.6,19.603,85.3,113.3,9.9,4
28.6,24.6,79.6,4.549,92.6,136.7,11.7,5
28.5,23.7,76.4,7.3,82.7,225.4,19.4,7
29.7,22.8,68.3,0,85.8,260.2,22.4,8
29.7,23.6,71.2,0.293,87.9,221.7,19.3,8
28.2,24.4,80.6,15.331,87.1,107.8,9.3,3
27.2,24.1,84,9.1,94.2,120,10.5,4
26.7,24,86.1,31.441,90.9,139.1,11.9,5
27.5,24.6,84.4,35.581,66.9,197.3,16.9,6
28.7,24.8,80.2,8,70.7,189.5,16.3,6
29.2,25.4,80.9,31.853,70.6,206.5,17.9,7
29.2,25.5,81.3,4,90.4,171.3,15,6
27.7,25.2,86.7,9,90.2,106.7,9.3,4
28.9,24.6,78.5,0.22,87.9,166.2,14.3,6
28.6,23.2,74.1,0,81.8,196.8,17,8
28.2,24.7,82,20.598,87,139.8,12.2,5
27.4,25.4,88.9,1.147,91.8,108.2,9.4,4
27.5,25.3,88,21.405,83.6,96.7,8.2,3
28.8,24.9,80.2,0.2,74.8,184.5,15.9,7
28.9,25.2,80.7,0.027,80.5,168,14.6,7
28.2,25.5,85.8,0.2,91.7,68.7,6,2
27.5,24.9,86.1,7.467,94,130.9,11.3,5
28.8,24.9,80.2,5.136,86.5,205.8,17.9,7
28.6,24.7,80.1,4.78,91.7,162.6,14,6
26.5,24.3,87.8,80.545,95.6,112.4,9.7,4
27,24.1,84.6,6.522,96.1,148.3,12.9,5
28.3,24.4,80,1.3,77.8,205.4,17.7,7
28.4,24.8,81.6,6.604,79.3,173.8,15.1,6
27.6,24.9,85.8,39.946,82.1,135.1,11.6,5
27.5,24.7,85.1,0.6,90,141.6,12.1,5
28.4,24.4,80.1,5.13,79.6,258.4,22.2,9
28.9,24.3,77.6,1.093,62.3,283.4,24.5,9
29.3,24.8,77.4,0,66.7,161.7,13.9,5
29,24.6,77.7,0,82.3,146.8,12.7,5
