temp,dew,humidity,precip,cloudcover,solarradiation,solarenergy,uvindex
78.5,67.8,70.8,0,1.6,239.2,20.7,8
79.2,68.7,71.1,0.016,0.8,239,20.6,8
79.9,69.1,70.8,0,0.4,238.2,20.6,8
78.9,69.8,75.1,0,0.8,230.9,20,8
78.4,70.6,78.1,0,1.1,223.5,19.3,8
77.7,70.8,80.6,0,2.1,215.2,18.5,7
78.2,70.6,78.4,0,2.1,207.6,17.9,7
79.1,70.5,76.4,0,0.4,214.6,18.7,7
78.6,68.7,73,0,0,209.6,18.2,7
77.3,63.9,64.4,0,0,226.2,19.6,8
75.4,65.1,71.6,0,0,230.9,19.9,8
76.7,66.2,71.4,0,0,218.2,18.8,8
76,65.3,70.9,0,0,220.5,18.9,8
76.5,65.1,69.3,0,0,219.9,19.2,8
77.4,66.3,70.6,0,0,212.6,18.3,7
77.8,69.2,76.2,0,0,211.6,18.3,8
77.2,71.2,82.8,0,24.4,216.3,18.7,8
78.3,72.5,83.2,0,62.3,213.2,18.4,7
79.4,70.9,76.7,0,47.8,202,17.4,7
79.7,69.1,71,0,0.3,173.5,15,6
77.3,68.4,75.1,0.02,2.5,162.8,14.1,6
75.7,68.9,81.2,0.12,7.9,165.3,14.4,6
73.4,66.7,81.6,0.016,2.8,192.7,16.7,7
70.7,57.8,67.7,0,0,215.7,18.6,8
69.2,51.3,56,0,0,197.9,17.1,7
71.9,50.1,47.2,0,0,192.1,16.6,7
70.4,50.9,51,0,0,183.2,16,7
67.4,51,57.7,0,0.3,203.3,17.5,7
68.1,51.5,56.8,0,27.1,188.1,16.3,7
68.5,58.5,72.1,0,19.2,170.8,14.7,6
72.4,57.5,61.1,0,12.3,166,14.5,6
71,53.6,55.1,0,0,179.1,15.5,6
71.3,52.3,52.1,0,0,179.5,15.5,6
70.2,52.5,55,0,0,175.5,15.1,6
68.6,52.6,58,0,0,165.5,14.3,6
68.1,55,64.6,0,0,163.8,14.1,6
69.8,56,63.3,0,8.4,177.3,15.3,7
71.9,59.5,66.5,0,0,163.3,13.9,6
71.5,60.5,69.3,0,20.3,157.8,13.5,6
72.7,61.9,70.6,0,43.2,150.3,12.9,6
69.4,54.8,62.2,0,16,139.1,11.8,5
66.8,49.9,56.2,0,25.5,146.2,12.6,6
67.5,53.1,61,0,10.8,146,12.6,6
66.1,57.5,74.5,0.284,47.5,61.6,5.3,2
66.1,59.2,80.4,0.012,20.6,131.8,11.5,5
72.9,59.8,65.4,0,25.6,130.4,11.2,5
70,58,68.1,0,44,95.4,8.2,4
71.9,64.2,78.1,0.152,37.7,109.8,9.4,5
70.2,59.6,70.9,0.072,10.6,149.6,12.9,6
67.4,51,59.4,0.024,0,165.3,14.4,6
62,46.1,58.1,0,0,158.4,13.8,6
61.7,43.9,55,0,0,168.9,14.5,6
63.5,42.2,47.3,0.012,43.2,134.1,11.4,6
64.6,45.7,52.5,0,9.3,152.1,13.3,6
63,47.5,58.5,0.068,40.6,104.6,8.9,4
65.5,55,70.3,0.016,13.9,130.7,11.4,5
65.3,51.7,64.1,0,0,150.5,13,6
62.9,45.5,54.7,0,0,167.3,14.4,6
63.9,41,44.9,0,0,171.2,14.6,7
61.1,42.1,51.3,0,0,162.1,13.9,6
58.3,39.9,52.4,0,0,164.8,14.3,6
58.6,38.7,49.7,0,0,148.7,12.8,6
59.4,40.8,51.6,0,0,145.2,12.5,6
59,39.6,49.4,0,0,145.9,12.7,6
59.1,39.7,50.4,0,0,149.9,12.8,6
58.4,43,57.5,0,0,151,13,6
58.6,45.9,64.4,0,0,148.5,12.8,6
60.2,44.3,58.5,0,0,149.7,13,6
60.3,43.1,54.2,0,0,146.9,12.7,6
59.2,44.8,59.6,0,0,129.2,11.1,5
54.6,39.7,59.5,0,0,133.3,11.4,5
53.1,36.8,55.6,0,0.2,135,11.6,5
55,38.4,56.2,0,0,151.5,13.1,6
58,35.4,44.1,0,0.6,163.4,14.3,6
57.3,37.2,48.6,0,0,157,13.5,6
55.6,33.6,45.4,0,0,149.1,12.8,6
58,34.7,42.5,0,0,143.9,12.5,5
58,37.2,48.1,0,0,152.5,13.1,6
55.2,37.6,52.8,0,0,130.8,11.3,5
50.6,34.6,57.2,0,0,141,12.2,5
50.8,30.1,48,0,0,162.6,14.2,6
52.7,27.9,40.8,0,0,141.5,12.2,5
53.6,31,43.7,0,0,133.3,11.4,5
51.7,40.4,67.7,0,0,134,11.5,5
54.5,40.9,64,0,0,122,10.5,5
55.7,38.8,55.1,0,22.9,120.1,10.3,5
54.7,36.8,51.9,0,0,106.4,9.3,5
54.4,38.7,57.1,0,0,112,9.8,5
