temp,dew,humidity,precip,cloudcover,solarradiation,solarenergy,uvindex
32.1,19.3,47.5,24.1,15.5,271.7,23.3,9
30.4,18.8,51.5,7.4,21,252.7,21.7,8
32.2,15.2,39.2,0,0,324.4,28.1,10
34.1,12.7,29.9,0,0,331.9,28.6,10
35.3,14.3,30,0,0,304.8,26.4,9
36.2,15.7,31.9,0,0.7,308.3,26.4,9
36.3,15.5,32.1,0,0,311.7,26.8,9
36.3,14.1,28.4,0,0,317.6,27.4,10
34.6,15.5,33.8,0,0.6,311.2,26.8,9
33.6,17.2,40.9,0.4,0,320.2,27.7,10
35.2,15.6,33.1,0,0,311.5,26.8,9
34.8,20,44.5,6.5,0.4,309.6,26.6,9
36.1,18.8,38.5,0,2.3,312.8,27.1,9
38,16.9,30.9,0.5,0,308.1,26.6,9
37.3,18.4,35.3,1.3,9,297.2,25.5,9
37.5,19.1,36,0.3,7,281.4,24.4,9
36.2,20.8,42.3,5.3,5.4,297.4,25.9,9
35.5,21.3,47,3.7,23.5,293,25.4,9
36.9,19.1,37.7,0.2,8.2,301.7,26,9
36.4,17.8,34.8,0.3,2,298.8,26,9
36.9,19.3,37.1,0,3.1,291.4,25.2,9
38,19.1,34.9,0,0.1,305.3,26.2,9
37.2,20.8,39.4,0,13.4,286.2,24.7,9
36.6,22.7,46.3,15.9,7.2,291.5,25.3,9
36.2,22.6,47.5,8.7,2.5,288.5,25,9
33.4,23.9,58.9,2.6,40.1,204.2,17.8,6
32.7,23.6,60,9.1,16.8,237,20.5,7
32.9,23.4,58.6,8,18.6,245.3,21.1,8
33.2,22.3,54.4,1.3,13.1,282.1,24.4,9
33.5,22.4,54,3.7,4.6,294,25.1,9
34.1,21.7,50.4,2.7,7,281.4,24.2,9
34,20.8,47.8,0.9,2.5,289.7,25,9
33.7,21.4,49.8,1.2,21.1,255,22.1,9
33.1,19.9,47.3,0.1,15.8,235,20.1,8
34.9,18,39.2,0,25.9,301.1,26.1,9
34.3,20.9,48.6,0,21.4,301.1,26,9
33.1,23.6,59,8.6,34.5,289.7,24.9,9
32.8,23.2,59.1,2.9,20.9,278.9,24.1,8
30.8,24.2,68.6,6.7,48.9,185.6,16,6
32.3,22.7,60.4,0.9,20.3,278.9,24.2,9
34.1,20.9,49.7,0,9.8,303.1,26.2,9
35.7,20.3,43,0,3.4,290,25,9
35.8,22,47.1,1,6.7,281.1,24.2,9
34.4,23.1,54.3,12.4,7.2,297.7,25.6,9
32.5,25,66.7,19.5,16.3,260.8,22.5,8
31,23.9,68.2,1.3,53.9,179.7,15.8,6
32.1,22.5,59.6,0.3,24,298.4,25.7,9
32.2,22.5,59,0,16.2,301.7,26.2,9
34.6,21.9,50.5,0,21.5,314.2,27.1,10
35.9,20.5,43.1,0,16.3,295.8,25.8,9
35.6,19.8,42.4,0,62.7,246.4,21.3,9
33.7,22.6,54.8,2.3,47.7,260.9,22.5,8
32.3,22.6,58.4,6.8,62.3,255.7,22.1,8
31.1,22.9,63.9,0,84.5,192.7,16.8,7
30.9,22.8,63.1,0,83.8,213.4,18.6,7
32,22.6,58.8,0,73.8,214.2,18.5,8
33.9,23,54.6,1,56.2,221.5,19.1,7
31.7,25.3,69.7,10.1,71.1,132.6,11.4,4
31.4,25.4,71.2,7,85.4,151.5,13.1,5
33,24.1,61.8,2.4,88.9,237.9,20.5,7
34.2,23.1,54.4,0.2,27.4,258.6,22.4,8
34.8,23.6,54,0.5,18.2,261.4,22.6,8
36.3,21.9,45.6,0,21.4,298.5,25.8,9
36.5,22,44.9,0.6,31,276.7,24,9
34,22.5,52.6,5.2,19.3,275.3,23.8,8
33,23.6,60,4.1,7.7,276.3,23.9,8
33.8,23.8,58.1,5.2,10.3,276.4,23.9,9
32.2,24.4,65.3,8.2,36.1,231.6,19.9,8
29.1,25.4,81.1,16.7,71.5,149,12.8,5
29.9,24.4,74.6,15.2,64.5,233.4,20.1,7
31.2,23.8,66.8,0,46.1,267.6,23.1,9
31.1,24.1,68.2,0.4,27.2,269.2,23.3,8
28.8,24.7,79.6,11.5,59.2,194.7,16.9,6
26.6,23.9,85.4,13,91.7,95.5,8.1,3
28.1,24.1,79.7,15.4,73.6,159.6,13.7,5
27.8,24.3,81.9,18,48.7,202.5,17.5,6
29.3,23.6,73.7,10.5,14.5,293,25.3,9
29.5,23.1,70,0,6.4,298.1,25.8,9
30.7,23.5,67.3,0.3,7.2,281.6,24.4,9
30.1,24.3,72.3,10,17.7,264.2,22.8,8
28.8,24.3,77.9,3.1,52.5,242.1,20.7,8
29.9,24.2,73.3,0,56.1,242.6,20.9,8
31.5,24.2,67.3,0,27,284,24.4,9
32.7,24.8,64.9,3,78.4,263,22.8,8
28.4,25.6,85.3,5.3,91.9,85.6,7.3,3
30.3,24.8,74.8,1.2,86.7,248,21.6,8
30.4,24.4,72,0,90.9,172.4,14.8,7
30.2,24.6,73.5,8.7,85.9,157.7,13.6,5
28.9,25,80.8,6.2,70.8,162.7,14,6
30.5,24.3,71,0.7,61.4,221,19.1,7
30.5,24.7,72.8,0.2,71.4,203.8,17.4,6
30.5,25.2,74.6,9.3,61.2,181.1,15.7,6
30.2,25.3,76.4,5.2,63.7,189.9,16.4,7
30.1,24.6,74.2,4.7,58.1,177.7,15.3,6
29.8,24.4,74.7,3.6,38.7,184.5,16,6
27.9,24.2,81.1,7.4,65.2,138.6,12.2,5
27.7,24.2,81.8,7.4,75.3,145.9,12.6,5
28.1,24.9,83.2,9.6,67.2,167.1,14.3,6
29.3,24.4,77.1,3.2,41.2,211.4,18.2,7
29.5,24.8,77,9,59.5,188.4,16.5,7
27.9,25.3,86.7,29,89.8,185.4,16,6
28.3,25.3,84.7,12.9,48.8,210.7,18.3,7
28.9,25.1,80.9,8.3,10.8,254.3,22,8
28.5,25.1,82.7,3.1,6.7,261.6,22.7,9
28.9,25,81,0.3,38,221.9,19.2,7
30,25,75.5,0,26.3,223.8,19.2,8
29.3,25.4,80.4,25.2,31.4,208.4,18.1,7
27.9,25.1,85.5,32,36.4,224.3,19.3,8
27.7,24.1,81.6,0.6,13.1,239.4,20.6,8
27.3,22.6,76.5,0,1.7,260.5,22.5,9
27.7,22.2,72.6,7.7,2.9,250.2,21.7,9
27.1,22,74.7,0,0.3,250.7,21.6,8
26.9,20.8,70.6,0,0,258.6,22.4,9
26.8,20.7,70.4,0,0,250.8,21.6,8
27,19.6,65.4,0,0,258.8,22.4,9
26.7,18.6,62.7,0,0,257.7,22.2,9
27.5,19.3,62.2,0,0,253.7,21.7,8
27.8,20.5,65.9,0,0.1,252.4,21.9,9
27.8,21.2,68.8,0,0.7,235.9,20.4,8
27.5,20.5,67.9,0,0,242.2,20.9,8
27.4,20,65.7,0,0.1,244.9,21.2,8
27.4,19.1,63,0,0,246.7,21.4,8
27.2,19,62.8,0,0.3,238,20.5,8
27.6,19.4,62.7,0,0.1,233.9,20.1,8
27.4,18.9,62,0,0,236.6,20.5,8
27.8,19,60.7,0,3.5,240.8,20.8,8
27.7,19.4,63.3,0,0,238.6,20.7,8
27.6,17.7,57.4,0,0,225.2,19.5,8
27.7,18.2,57.8,0,3.7,220.7,19.1,8
26.9,19.5,65.5,0,11.8,178.9,15.3,6
27.3,17.7,58.4,0,0.6,221.1,19.1,8
27.2,16.3,53.4,0,1.7,217.4,18.7,8
27.3,15.3,50.2,0,11.8,224.1,19.4,8
27.1,14.6,48.9,0,64.9,198.7,17.2,8
27,14,46.8,0,69,155.1,13.6,6
26.3,13.1,46.4,0,18.6,219.7,19,8
25.8,11.3,43.3,0,0,221.1,19.1,8
25.9,9.4,37.1,0,0,217.1,18.8,8
25.3,8.1,35.4,0,0,214.3,18.5,8
24.8,9.1,38.9,0,0,208.2,17.9,7
25.7,9.2,37,0,4,210.1,18.2,8
25.5,9.2,38,0,0.4,188.4,16.2,7
24.2,10.1,42.9,0,0.2,184.9,16.1,7
23.5,10.9,47.5,0,0.2,170.1,14.7,6
24.2,11.4,47.1,0,0,185.9,15.9,7
23.3,10.2,47.3,0,5.8,194.6,16.9,7
22.8,9.5,46,0,0,182.3,15.7,7
22.6,8.1,42,0,0,182,15.8,7
22,6.5,39.7,0,0,193.7,16.7,7
23.3,5.3,32.6,0,0,192.2,16.7,7
22.2,6.7,38.5,0,0,169.1,14.6,6
22.6,5.9,35.7,0,0,174.7,14.9,7
22.2,6.1,37.6,0,0,157.9,13.6,6
21.9,7.6,41.9,0,0,143.7,12.4,5
22.6,7.8,41.2,0,0,151.8,13.1,6
23.6,8.1,38.8,0,0,151.6,13.3,6
21.8,9.6,47.7,1.1,1.4,146.4,12.6,5
22.1,10.7,50.3,0,1.6,154.2,13.3,6
21.9,9.9,49.7,0,0,179.7,15.5,7
21.7,6.1,38.8,0,27,178.1,15.3,7
20.5,6.2,41,0,11.3,165.3,14.3,6
20.9,8.6,46.7,0,55.1,128.6,11.3,5
22.7,13.4,58,0,46.1,153,13.1,6
23.4,13.8,56.7,0,21.3,165.4,14.3,6
22.6,9.4,47.6,0,0,181.5,15.6,7
22.3,6.5,37.3,0,4.3,173.2,14.9,6
22,7.2,40.1,0,18.7,170,14.6,6
21.2,8.1,45.3,0,0,155.2,13.4,6
21.4,8.2,44.9,0,0,160.5,14,6
21.1,6,40.1,0,0.2,165.3,14.4,6
21.8,5.8,37,0,0,148.1,12.9,6
22.4,6.4,36.9,0,0,147.6,12.6,6
21.4,8.1,44.4,0,0,135.5,11.8,5
21,7.6,44.6,0,3.2,152,13.2,6
21,6.5,41.2,0,12.7,152.3,12.9,6
19.4,7.7,48.6,0,88.2,133.4,11.5,5
18.7,9.3,55.8,0,93.5,113.6,9.7,4
18.6,9.2,56.2,0,22.5,122.8,10.5,5
