temp,dew,humidity,precip,cloudcover,solarradiation,solarenergy,uvindex
69.2,59.1,74.2,0,26.6,224.3,19.4,8
69.8,59.1,72.2,0,3.5,225.2,19.4,8
70.6,59,69.7,0,24.9,220.9,19.2,8
71,60.1,71.9,0,5.5,215.9,18.6,8
71.9,62.5,75.1,0,33.9,213.9,18.5,8
72.1,61.2,72.5,0,25,222.8,19.3,8
71.8,61.2,72.8,0,26.9,226.8,19.5,8
71.6,61.6,74,0,20.4,226.8,19.6,8
72.9,63.5,75.4,0,8.2,222.6,19.2,8
73,63.2,74.6,0,50.9,222.9,19.2,8
73.1,62.9,74.1,0,34.7,219.3,19.1,8
72.3,61.1,72.1,0,4.1,227.8,19.8,8
72.2,60.5,71.5,0,7.7,233,20.2,8
72.7,61.9,72.2,0,22,232.9,20.1,8
73.2,62.7,73.5,0,9.4,212.8,18.3,8
73.5,63,73.2,0,17.6,223.3,19.2,8
73.4,62,71.9,0,21.1,225.6,19.5,8
73.7,62.9,73,0,26.9,217.8,18.8,8
74,62.2,70.8,0,26.9,234.1,20.2,8
74.5,63.2,71.4,0,50.2,227.4,19.7,8
74.5,62.7,70.3,0,13.6,225.7,19.5,8
73.7,62,69.9,0,10.5,211,18.2,7
73.6,62.1,70.6,0,16.2,221.4,19.3,8
74.5,61.5,67.6,0,20.7,230.3,19.9,8
74.4,63.2,71.2,0,55.2,173.4,14.9,6
74.9,61.8,67.7,0,30.7,227.8,19.7,8
73.3,62.8,72.4,0,87,170.7,14.7,7
74.4,62,68.8,0,22.4,214.7,18.5,8
73.4,60.2,68.1,0,2.3,228.4,19.7,8
72.9,57.6,63.2,0,1.9,232.6,20,8
73.1,57.4,63.1,0,12.2,237.4,20.4,8
73.2,60,68.1,0,32.9,233.9,20.2,8
74.4,60.5,66.9,0,12.2,232.7,20.1,8
75.2,59.6,63.6,0,46.7,230.4,20,8
75.9,51.5,49.6,0,66.3,256.7,22.2,9
76.4,47.2,39.3,0,26.8,258.4,22.5,9
76.4,50.9,46.5,0,22.8,258.4,22.3,9
76.6,52.7,49.9,0,31.2,261.8,22.6,9
77.4,52.5,48.2,0,21.4,254,21.9,9
78.1,55,52.8,0,42.2,254.8,22,9
78.5,55.3,52.2,0,21.1,256.3,22.1,9
77.6,58.6,59.8,0,46.5,257.4,22.2,9
78.1,60.1,61.2,0,7.5,258,22.3,9
77.4,60.3,62.5,0,41.1,249.1,21.8,9
76.9,62.4,64.3,0,75.1,179.1,15.5,7
76.8,64.2,67.4,0,71.3,161.9,13.9,6
78.9,63.1,62.1,0.06,59.6,193.5,16.8,7
78.3,55.9,52,0,31,261.4,22.5,9
75.3,51.8,47.4,0,25.1,271,23.3,9
77.2,62.3,65.3,0,34.5,261.1,22.6,9
77.6,60.4,61.9,0,23.6,262.8,22.7,9
77.8,61.1,62,0,8.2,255.7,22.1,9
78.7,61.3,60.4,0,13,255.9,22.2,9
78.4,60.1,58.5,0,19.6,257.5,22.3,9
78,60.1,59.6,0,1.9,277.3,24,9
78.2,58.7,58.7,0,16.3,277.8,24,10
78,57.4,57.3,0,57.5,282.1,24.4,10
78.6,56.8,55.5,0,17.7,285,24.7,10
78.7,59.6,58.8,0.004,23.9,278.8,24.2,10
78.9,62.9,62.3,0.142,46.3,249.2,21.4,9
79.3,63.6,62.5,0.068,34.6,257.3,22.1,9
79,64.3,63.7,0.04,36.1,245,21.1,9
76.2,64.1,69.2,0.289,44.9,192,16.7,7
76.4,63.7,68.6,0.128,30.8,231.1,20.1,9
78.4,64.3,66.8,0.04,24.5,268.3,23.2,10
79.1,62.6,61.6,0.004,49.7,270.6,23.3,10
79.6,62.1,60.6,0,60.6,275.4,23.8,10
80.1,62.9,59.8,0,33.4,245,21.3,8
80.8,62.2,57.9,0,27,267.4,23.2,9
81.2,61.2,56.4,0,72,281,24.4,10
80,60.8,56.4,0,87.5,165.8,14.3,7
79.4,59.7,54.2,0,69.4,143.9,12.3,5
83.7,56.7,43.4,0,30.7,295.9,25.5,10
84.4,54.3,40.1,0,1.1,298.9,25.8,10
85.6,56.8,41.3,0,3.6,298,25.7,10
86.4,57.8,42,0,14.2,291.5,25.2,10
86.2,54.9,40.3,0,0,302.5,26.2,10
86.5,55,39.8,0,28.7,298.8,25.7,10
87.8,55.5,38.9,0,24.8,294.6,25.6,10
88.2,56.2,39.7,0,11.7,296,25.6,10
88.9,57.6,40.8,0,24.2,285.4,24.8,10
87.6,61.2,48.2,0,40.5,298.6,25.8,10
87.1,61.1,50.2,0,12.3,288.8,24.9,9
87.5,61.1,48.5,0,44.5,289.8,25.1,10
87.6,59.4,45.9,0,59.5,296.1,25.5,10
87.8,53.8,37.2,0,56.5,304.9,26.3,10
88.9,49.8,30.7,0,82.7,294.7,25.3,10
91.1,51.8,29.9,0,52.9,281.2,24.3,9
92.3,50.8,27.6,0,60.9,285.5,24.7,9
91.2,53.8,33.2,0,59.3,281.1,24.3,10
92.1,52.3,30.1,0,23.2,275.8,23.8,10
90.8,55.5,35.6,0,29.1,255.6,22,9
89.6,59.5,44.1,0,51.7,244.5,21,8
90.5,57.8,40,0,87.1,286.3,24.7,9
90.8,53.9,33.8,0,65.4,306.3,26.4,10
90.2,57.5,41.3,0,23.1,306.4,26.5,10
90.8,55.8,40.7,0,56.5,305.3,26.4,10
92.8,57.1,37.4,0,46.6,295.7,25.4,10
92.2,59.7,36.8,0.048,58.2,220.8,18.9,8
91.9,55.8,33.3,0,48.5,278.5,24.1,9
91.6,54.3,32.9,0,2.5,307.5,26.5,10
91.2,61.4,42.9,0,35.6,276.8,24,10
89.8,64.8,49.4,0.036,7,287.7,24.8,10
88.3,66.3,54.3,0,8,289.8,25,9
89.3,61.2,47.9,0,3.5,307.5,26.4,10
90.2,60.2,43.5,0,0,306.9,26.6,10
91.3,61.2,42.3,0.008,24.6,298.3,25.8,10
90.5,63.3,46.7,0,25.1,296.7,25.8,10
91.3,60.1,41.7,0.012,11.7,309.3,26.5,10
89.3,58.8,39.2,0,71.9,197.1,16.9,6
92.1,58.7,35.6,0,70.6,276.3,23.9,9
89.9,59.9,41.2,0,58.8,235,20.2,8
91.5,59.1,37.5,0,52.7,279.6,24.2,9
92.3,59.4,36.7,0.016,64.7,274.6,23.6,10
93.7,62.9,40.4,0,64.1,264.9,22.9,9
94.4,63.8,41.2,0,53.4,297.1,25.9,10
94.1,63.4,42.6,0,43.7,310.2,27,10
93.7,63.5,43.1,0,61,295,25.4,10
92.7,63.3,45,0,43.9,301.3,26.1,10
91,65,48.6,0,62,196.4,17,7
92.4,64.1,44.3,0,64.6,240.2,20.9,9
91.4,66.9,49.2,0,62,252.7,21.7,8
91.4,66.1,50.9,0,37.4,315.7,27.5,10
90,67.2,53.7,0.012,17.1,306,26.4,10
89.6,67.1,53.7,0,51.7,313.3,27.1,10
87.6,69.8,58.2,0.154,66.7,280.2,24.1,9
85.8,69,60.1,0,75.2,215,18.4,7
83.2,69.7,66.4,0.284,85.7,172.6,15,7
82.2,75.3,81.2,0.845,87.1,168.9,14.6,7
86.1,72.9,68.8,0.068,88.7,227.8,19.6,8
90.9,69.2,54.2,0,66.6,280,24.1,10
92.9,66.1,45.5,0,47.7,298.6,25.9,10
92.3,64.7,45.1,0,50.3,317.4,27.3,10
92.8,63.9,43.8,0,61.6,319.9,27.7,10
93.2,62.9,40.9,0,78.4,307.2,26.7,10
94.2,64.1,40.9,0,83.4,302.6,26.3,10
94.7,66,42.6,0,74.6,281.5,24.2,10
92.6,66.2,44.9,0,75.6,197,17,7
92.9,66.9,45.9,0,68.5,245,21.1,8
94.2,65.6,42.8,0,75.8,287.2,24.8,9
93.8,68.2,45.5,0.02,84.3,214.1,18.3,8
95.5,66.9,42.2,0.024,73.8,233.7,20.2,8
97.8,59.6,32.4,0,71.1,280.5,24.2,10
94.9,67.9,45.8,0,72,227,19.4,7
92.7,69.2,49.4,0,75.3,199.5,17.5,7
85.3,71,63.2,0,78.9,88.1,7.5,3
92.1,67.3,48,0.024,73.7,261.2,22.5,8
94.4,67.6,45.1,0,78.4,234.1,20.3,9
95.9,67.2,43.1,0,72.8,275.4,23.7,9
97.5,66.9,40.4,0,78.9,271.7,23.5,10
98.8,64.2,35.4,0,75.5,279.8,24.2,9
97.4,63.4,35.8,0.008,64.9,218.2,18.7,8
92.1,69.9,50.5,0.264,60.2,173.4,15,6
88.1,73,63.7,0.136,75.2,150,12.8,5
89.2,70.9,56.8,0,68.6,151.8,13.1,5
91.2,71,53.9,0,62.7,177.5,15.4,5
93.8,70.2,49.3,0,52,212.9,18.4,7
95.6,69.5,46.1,0,67.5,252.4,21.8,9
92.4,70.2,50.2,0,75.2,166.9,14.6,6
89.4,69.9,53.9,0,84.5,114.5,10,4
92,67.8,48.4,0,83.3,196.3,16.9,8
94.5,68.1,44.8,0,71.4,286.4,24.6,9
94.5,65.9,41.5,0,78.8,253.4,21.8,9
92.8,66.8,44.2,0,69.9,239.1,20.7,9
93.6,66.2,42.6,0.02,61.7,267.1,23,9
90.3,69.4,52.4,0.264,58.2,258.3,22.2,9
89.6,68.6,52.6,0,75.2,264.8,23.1,8
91.5,68.1,48.9,0,55.3,276.6,23.9,9
87.9,68.2,53.3,0.004,87.1,144.4,12.5,5
89.7,69.7,54.4,0,69.7,263.1,22.7,9
88.6,68.8,53.6,0,86.2,198.4,17.1,8
90,67.6,49.9,0.02,79.5,203.7,17.6,7
90,66.8,48.3,0,79.2,169.8,14.7,6
92.5,64.9,43.4,0,73,243.2,21.2,9
94.6,64,38.8,0,68.7,298.1,25.7,9
