temp,dew,humidity,precip,cloudcover,solarradiation,solarenergy,uvindex
30.1,23.7,70.1,2.5,78.5,110.9,9.6,4
30.8,23.6,67.4,7.5,70.1,158.6,13.7,6
30.6,23.2,66.2,0.9,73.4,137.3,12,5
31.1,23.2,64.7,0.2,69.4,144.6,12.5,4
30.5,23.8,68.8,0.8,80.8,130.7,11.2,4
29.7,24.4,74.6,7.8,86.9,115.5,10.1,4
28.9,24.9,80.2,39,86.8,89.8,7.8,3
29.1,23.7,74.5,41,90.9,178,15.3,7
31.4,22.3,60.7,0.1,71.5,258.5,22.4,10
31.3,21.3,56.5,0,77.3,217.1,18.7,7
31,22.3,61.5,1.2,77.3,156.2,13.3,5
30.3,22.5,64.5,5,82.3,186.4,16.4,6
30.8,21.2,58.3,0.5,83.3,203.6,17.7,7
31.5,20.3,52.5,0.1,85.9,243,20.9,8
31.7,21.4,56.1,0,84.5,217.7,18.8,8
32.1,22.6,59.3,0,72.8,256.5,22.1,9
32,22.5,59,3,51.8,247.6,21.3,9
31.8,22.2,58.6,0,64.3,196.2,17,7
32,22.7,59.5,0,62.8,225.3,19.5,9
31.6,22,58.4,0,76.9,207.7,18,8
31.7,22,57.7,0,78.1,240.4,20.8,8
31.5,21.7,57.2,0,83.9,137.4,11.9,5
30,21,59.6,0,86.5,148.4,12.8,5
31.2,20.8,55,0.2,74.7,215.8,18.8,7
31.6,21.3,56.5,4,69.7,256.7,22.3,8
31.8,22.4,59.1,1.4,75.8,214.9,18.6,8
31.6,22.5,59.7,0.2,74,203.6,17.7,7
31.5,22.1,59.5,2.5,69,179.8,15.4,6
31.6,21.8,58.3,0.2,68.7,221.8,19.2,7
30.7,21.7,60,0.3,85.5,171.6,14.8,6
30.6,21.5,59.7,0.4,86.3,203.5,17.5,7
30.9,21.5,59.1,0.2,69.7,231.8,20.1,9
30.6,21.6,60.4,0.5,83.2,242.6,21.1,9
30.9,22,60.9,0.2,79.7,224.4,19.5,9
29.4,23.5,71.9,12.8,85.6,138.9,12.1,5
29.8,23.4,69.8,0.3,87.1,202.2,17.5,7
28.2,23.4,76.4,39.9,86.3,174.2,15.1,6
29.1,22.9,70.1,0.3,90.9,157.9,13.6,6
28.6,22.6,71,16,85.7,160.4,13.8,6
27.3,22.8,77.9,14,96.2,145.6,12.4,5
27.1,22.8,79.4,4.9,95.8,169.4,14.5,6
28.3,22.9,73.5,1.5,90.6,169.5,14.8,6
29.6,23.1,70.1,24,62.6,212,18.3,8
29.2,23.2,71.1,1,85.9,152.3,13.1,5
30,23.4,68.9,18,75.1,194.9,16.8,7
28.4,23.7,76.6,27,91.1,149.4,12.9,5
28.3,23.1,75.3,3,71.5,199.6,17.4,6
28.1,23.1,75.8,3,96.1,146.7,12.6,5
27.7,23.1,77.1,13,90.5,174.8,15.1,7
28.3,23.5,76.8,3.5,76.1,234.7,20.3,9
28.4,23.4,74.9,0.2,84.6,174.3,15.1,6
28.3,23,73.7,1.7,93.6,163.5,14.2,7
28.5,22.5,70.7,0.7,87.7,177,15.2,6
28.7,23,72.8,4,77.3,196.1,17,7
28.6,22.6,71,0.1,96.3,195.6,16.9,7
29.9,22.1,64.1,0,87.9,222.8,19.3,8
30.4,22.8,65.3,0,81.6,248.2,21.5,8
30.7,22.8,64,0,76.2,250.3,21.7,9
30.1,21.4,60.4,0,82,171.4,14.7,6
30.4,20.9,57.8,0,72.2,235.7,20.3,9
30.7,21,57.2,0.3,89.8,289,24.9,9
30.1,21.6,61.4,0.6,87.9,229.2,19.6,7
30.8,22.2,61.9,0,64.5,266.1,23,9
30.2,22.2,63.6,0.1,73.4,165,14.3,6
30.1,22.9,66.8,3,70.5,169.4,14.7,6
27.2,23.6,81.3,4,94.1,87.8,7.5,3
28,23.2,76.3,29,85,188,16,7
29.7,23,68.6,0.7,68.5,239.4,20.7,8
30.3,23.7,68.8,0.5,72.2,252.5,21.8,8
29.8,23.2,68.7,0.5,74,142,12.2,6
29,22.8,69.9,0.9,85,133.2,11.6,4
28.7,23.4,74.1,5.8,84.9,158.1,13.6,6
27.7,23.6,78.9,19,91.7,139.3,11.9,5
28.8,23.4,73.5,2.2,81.2,203.1,17.6,7
27.4,23.4,79.1,0.1,89.7,89.9,7.6,3
26.1,23.6,86.4,23.9,92.4,114.4,9.8,4
27,23.6,82,51,91.9,248.9,21.3,8
28,23.5,77.5,1.1,93.5,184.1,15.9,7
28.5,23.7,76.1,2.1,91.6,197.1,17,7
28.7,23.7,75.2,0.5,82.2,144,12.3,5
29.3,23,69.7,0.6,68.4,232.6,20.1,7
29.7,22.7,67,0.8,54.6,287.3,24.8,10
29.7,22.2,65.5,0.3,62.4,261.4,22.5,10
29.6,22.3,66.2,0.2,58.4,170.5,14.7,5
29.9,22.7,66.9,0,56.1,246.3,21.2,10
30.5,23.1,66.5,0,46.5,299.6,25.9,10
30.1,22.9,66.5,0,71,202.6,17.5,7
29.5,23.3,70.8,0.1,85,147.1,12.7,5
29.8,24.2,73.2,0.9,79.8,163.8,14.2,5
29.5,24.4,75.3,4.7,77.5,127.9,11.1,4
29.7,24.2,73.6,4.9,67.9,239.9,20.7,8
29.2,25,79.4,10,67,181.4,15.7,6
29.4,24.6,77,0.5,48.6,195.1,16.9,6
28.7,24.5,78.5,0.2,74.1,123.7,10.9,4
29,24.2,76.3,3.8,81.3,194.5,16.8,7
28.9,22.9,71.2,0.8,77.1,150.6,13.1,6
29.4,22.9,69.3,0,64.7,209,18.2,7
29.4,23.3,70.9,0.8,73.9,200.9,17.4,8
27.7,23.6,78.7,1.1,87.5,113.6,9.7,4
28,23.2,76.6,4.5,78.7,265.1,22.8,9
28,23.8,78.2,4.8,78,142.7,12.2,5
27.8,24.4,82.4,46,67.9,181.8,15.6,6
27.7,24.8,84.8,0.4,69.9,191.6,16.5,7
27.4,24.8,85.7,3.3,78.2,127.3,10.9,4
27.7,25,85.5,30.5,79.6,128.8,11.2,4
28.3,24.8,81.9,3.4,68.1,124.9,11,4
29,24.8,78.8,0.8,77.9,171.9,14.9,6
28.4,24.8,81.2,5,82.1,155,13.4,5
28.2,25,83.4,0.3,78.3,147.8,12.6,5
28.3,24.7,81.5,2.1,77,146.6,12.5,5
28.8,24.4,78.1,0.2,77.4,194.6,17,8
28.1,24.1,79.7,0.8,82.1,141,12,5
28.8,23.5,74.1,0.2,78.5,220.2,19.1,7
29.3,23.5,72.1,0,65.5,257.8,22.3,10
29.3,22,66.7,0,68.9,300.4,25.8,10
29.4,23.2,71.2,2,72.5,295.7,25.6,10
29,23.7,74.4,1.1,70.7,223.3,19.7,8
28.2,23.9,78.5,1,67.1,138.1,11.9,5
29.7,24,72.9,0,70.3,202.8,17.5,7
29.6,23.7,72.2,1.9,78.9,123,10.6,4
29.4,22.7,68.6,0.1,76.7,217.8,18.9,8
28.7,22.8,71.6,1.3,79.1,178,15.2,7
29.3,23.9,73.8,0.3,76.9,184.5,15.9,7
28.6,24.5,79.2,3.6,88.1,103.1,8.8,3
27.8,23.8,79.5,4.1,87.7,88.3,7.6,3
28.3,23.3,75.9,1.5,73.6,149.5,12.9,5
