temp,dew,humidity,precip,cloudcover,solarradiation,solarenergy,uvindex
76.1,66.2,73.7,0,31.6,280,24.2,9
76.1,67.1,75.4,0,43.5,276.1,23.7,9
76.6,68.2,77.2,0,1.8,270.8,23.5,9
77.4,69.4,78.6,0,60.7,276,23.8,9
78.2,68.2,73.8,0,74.9,264.9,22.9,9
77,66.9,72.9,0,92.1,272.6,23.5,9
74.9,65,73.6,0,42.2,270.4,23.3,9
75.6,65.3,72.7,0,63.3,259.5,22.6,9
76.3,64.2,68,0,57.9,266.4,23.1,9
75.1,65.7,74.8,0.024,60.7,261.8,22.7,9
75.9,69.3,81.3,0.172,67.8,216.9,18.7,8
76,68.5,79,0.1,73.4,213.3,18.4,8
77.5,64.8,66.6,0.068,9,254,21.7,9
76.5,64.8,69.9,0.012,23.8,259.6,22.5,9
75.3,65,72.2,0,47.2,255,22,9
75.2,66.8,76.9,0,83.6,187.4,16.1,8
77.6,71.1,81.9,0,63.9,226.5,19.6,8
78,72.1,83.3,0.016,67,192.6,16.7,8
79,72.9,82.9,0.012,72.5,194.4,16.9,7
78.4,73,84.4,0.104,57.3,158,13.6,6
78.1,71.1,80.2,0.036,76.5,176.7,15.3,7
76.8,66.7,74.2,0,50.5,234.3,20.2,8
76,66.2,73.9,0,23.5,233.6,20.3,8
74.5,65.4,74.9,0,34.5,177.6,15.5,7
77.1,64,67,0,30.1,207.1,17.8,8
77.4,65.5,68.4,0,18,208.9,18.1,8
77.4,64,65.3,0,9.1,231.6,20,8
78.1,63.6,64.2,0,48.8,229.7,20,8
76.2,62.2,65.1,0,26.7,225.8,19.5,8
75.4,63.4,68.4,0.06,21.6,201.3,17.4,8
74.3,60.9,66.2,0,25.2,209.4,18.1,8
71.1,55.8,62.6,0,1.6,219.3,19,8
69.5,52.8,59.3,0,2.5,220.8,19.1,8
70.8,56.5,63.8,0,0,238.2,20.5,8
73.4,60.1,67,0,1.7,234.6,20.2,8
73.5,57.5,61.5,0,51.9,235.1,20.4,8
71,51.8,55.4,0,79.5,213.3,18.5,8
70.8,55.5,62.2,0,29.7,207.1,17.8,7
73.8,63.1,71.4,0,69,167,14.4,6
77.5,67.6,74,0,59,195.1,16.8,7
76.6,69.5,80.1,0.116,77.4,120.2,10.3,5
74.3,69.8,86.3,0.955,76.4,72.6,6.2,3
74.4,69.9,87.1,0.475,57.3,158.8,13.8,6
75.4,69.1,82.7,0.012,51.7,197.7,16.8,7
76.6,68.1,76.6,0,13.6,198.4,17,7
76,69.6,81.5,0.409,82.1,118.4,10.3,4
74.6,68.6,82.5,0.244,70.9,112,9.9,4
74,67.1,80.3,0.275,57.7,158.2,13.6,6
72.8,66.6,82,0.008,47.1,187.6,16.1,7
72.8,65.2,78.6,0,37.7,193.6,16.7,7
70.3,58.3,68.3,0,73.8,190.6,16.4,7
70.2,55.3,61,0,68.5,180.1,15.8,7
66.5,58.6,76.5,0.132,76.1,84.3,7.2,4
67.2,60.2,79.1,0.136,83.3,115.5,9.9,5
69.5,65.2,87.1,0.076,78.1,101.9,8.8,4
72.8,67.7,85.6,0,42.8,169.1,14.6,7
73.3,67.6,84.1,0,56.6,164.8,14.1,7
72.9,67.7,84.8,0.008,47.4,125.3,10.9,5
73.1,66,80.3,0.076,26.5,188.6,16.2,7
72.2,64.4,78.8,0,44.3,184.9,15.9,7
72.5,61.8,71.6,0,20.2,191.5,16.5,7
71.4,61.6,73.3,0,13.3,185.7,16.1,7
71.2,61.7,74.5,0,7.8,189.8,16.4,7
69.7,59.2,72.3,0,28.1,181.1,15.5,7
68.3,57.1,70,0,11.8,178,15.4,7
67.5,55.6,68.2,0,50.6,186.4,16,7
66.2,51,61.2,0,29,192.5,16.6,7
64.1,48.3,59.3,0,20.5,202.3,17.6,7
67.7,57.4,71.1,0,27.9,174.4,15.2,6
69.5,59.8,74.6,0,11.7,189.2,16.3,7
66.2,53.6,69.1,0,2,193.1,16.7,7
61.7,46.7,62.1,0,0,182.5,15.7,7
59.4,41.9,55.8,0,5.6,186.1,16,7
59.6,42.4,56.8,0,5,191.4,16.4,7
60.7,42.7,55.3,0,0,196.9,17.1,7
62,40.1,48.8,0,0.6,205.5,17.7,8
63.2,40,47.3,0,6.5,208,18,8
64.2,39.4,44.1,0,0,206.3,17.8,8
64.6,40,43.9,0,0,205.6,17.7,8
62.3,39.7,48.3,0,0,206.6,17.9,8
61,38.8,48.3,0,0,204,17.5,7
62.9,37.5,43.2,0,0,205.8,17.7,8
62.9,39.5,45.8,0,5,205.1,17.7,7
62.9,41.4,48.5,0,0.1,204.2,17.5,8
64.6,41.4,46.9,0,8.5,202.2,17.4,7
63.9,41.9,48.7,0,0,197.8,17.2,7
64.9,45.1,52.2,0,0,188.5,16.3,7
65.3,48.3,58,0,5.8,187.1,16.1,7
66.3,49,56.6,0,28.5,160.9,13.8,6
66.3,52.4,63.7,0,25.5,157,13.5,6
64.6,56.4,76.4,0,37.5,115,10,5
57.6,38.1,54.2,0,6.2,202.7,17.4,7
56.5,30.7,42.3,0,0.4,212.3,18.2,8
56.9,31.3,42.6,0,8.3,212.8,18.2,8
57.9,32.8,41.9,0,1.1,210,18,8
59.5,36.9,45.1,0,39.6,198.9,17.2,7
58.9,33.1,40.9,0,1.1,208,17.9,8
57.9,31.5,41.2,0,0.5,215.3,18.4,8
60.2,29.9,36.9,0,31,212.5,18.1,8
60.2,30,36.8,0,0,215.2,18.3,8
59.8,31.3,38.6,0,35.1,211.9,18,8
58.4,28.8,37,0,10.7,214.5,18.4,8
61.8,28.6,33.2,0,0,214.9,18.3,8
64.1,32.7,34.9,0,0,212.6,18.3,8
66.4,36.9,37,0,0,213.1,18.3,8
65.1,43.7,50.4,0,0.1,207.7,18,8
63.4,45.5,58.4,0,0.4,210.6,18.3,8
58.3,14.2,21.1,0,12,221.6,19.2,8
61.8,16.2,19.9,0,1.3,223,19.2,8
64.1,28,28.2,0,0,210.6,18.1,8
64.3,29.7,30.4,0,21,214.5,18.4,8
64.6,24.9,24.4,0,29.6,219.2,19,8
66.3,26.7,25.1,0,0.4,220.4,19,8
67.7,31.2,28.7,0,0,224,19.2,8
68,36.9,35.7,0,36,213.4,18.5,8
69.4,41.1,38.8,0,1.9,218.4,19,8
68.5,39.1,37,0,0,214.5,18.5,8
64.9,29.3,30.2,0,0,231.1,20,8
67.2,37.1,35.2,0,8.5,209,18.1,7
69.5,39.4,35.9,0,0.2,214.9,18.5,8
67.7,35.6,35.3,0,0,220.5,19,8
66.4,32.9,30.9,0,0.2,228.9,19.8,8
68.2,38.7,37.6,0,0,219.9,18.8,8
69.7,37.1,33.4,0,0,216.1,18.6,8
70.5,33.3,28.4,0,0,225.1,19.3,8
72.2,29.8,23.1,0,0,235.5,20.4,8
74,29.6,22.3,0,0,241.4,21,8
74.2,27.6,19.9,0,0,242.7,21.1,9
73.1,35.3,28.2,0,23.4,237.1,20.4,8
69.9,42.7,41,0,0,240.8,20.8,8
70.6,46.8,46.7,0,0,229.8,20.1,8
71.3,39.4,34.9,0,18.8,242.2,21.1,9
72.2,35.9,29.3,0,0.8,238,20.7,8
74.9,35.7,25.9,0,0,238.9,20.4,8
76.8,36.4,24.4,0,0,234.7,20.4,8
75.6,35.6,24.8,0,15.9,232.9,20.2,8
74,46.4,39.8,0,6.9,228.1,19.8,8
71.1,48.1,47.9,0.008,6.8,237.6,20.4,8
68.1,39.4,37.6,0,24.2,249.2,21.5,9
65.7,35.7,36,0,22.5,253.5,21.8,9
67.2,36.1,34.7,0,9.7,252.7,21.8,9
69.4,31.5,26.7,0,0,255.2,22.1,9
70.2,34.7,29.4,0,2.7,246.7,21.4,9
69.1,39.1,37.9,0,0,256.9,22.1,9
70,31.9,27.6,0,52.3,215.3,18.6,8
72.6,35.2,27.1,0,0.6,255.9,22,9
72.7,33.9,25.7,0,2.2,252.9,21.8,9
69.6,34.3,30.4,0,0,268.8,23.2,9
71.7,33.6,27,0,0,265.5,22.8,9
72.4,35.8,29.4,0,0.8,269.1,23.4,9
73.9,39.5,32.2,0,0,258.8,22.2,9
78.2,44.5,31.5,0,21.9,237.2,20.4,8
79.1,39.5,26.5,0,8.7,263.1,22.9,9
78.7,41.3,30.1,0,4.1,258.7,22.5,9
77,39.2,28.2,0,0.9,264.7,23,9
76.5,37.3,27.2,0,0,271.8,23.4,9
78.4,32.6,20.6,0,0,278.3,24.1,9
80.5,32.6,19.8,0,0,281.2,24.4,9
79.9,33.2,21.1,0,0,283.1,24.4,9
75.7,33.7,24.8,0,0,287.7,24.9,10
74.4,28.7,21.2,0,0.6,289.6,25,10
73.4,23.6,18.2,0,0,299.5,25.8,10
73.6,25.1,18.4,0,0,293.8,25.4,10
78.5,20,12.5,0,1.1,300.6,26.1,10
80.8,23,13,0,0,298.5,25.8,10
81.7,24.8,13.5,0,0,297.9,25.8,10
83.6,21.7,12.2,0,0,304.7,26.2,10
86.1,23,10.4,0,0,298,25.8,10
84.1,29.6,15.5,0,0,297.7,25.9,10
81.9,26.2,14.3,0,0,294,25.5,9
79.2,35.1,22.7,0,0.4,305.8,26.3,10
80.9,36.3,23.1,0,7.4,302.1,26.2,10
78.6,37.5,27.7,0,3.5,305,26.4,10
79.9,39,25.7,0,28.6,274.9,23.8,10
80.1,32.4,20.3,0,32,304.3,26.2,10
81,33,19.9,0,26.8,305.3,26.4,10
82.7,28.7,15.8,0,19.4,305.2,26.3,10
84.4,22,11,0,16.9,311.9,27,10
83.6,25.9,13.2,0,8,306.7,26.5,10
82.1,29.9,16.6,0,0,313,27.1,10
82.8,36,20.6,0,2.6,266.2,23,9
81.5,34.4,19.5,0,1.4,277.8,24,9
81.8,35.2,20.7,0,0,304.7,26.4,10
81.5,41.3,26.6,0,0,297.5,25.7,9
81.8,36,22.7,0,0,304,26.1,10
81.3,31.8,17.7,0,3.5,297,25.7,9
83.6,28.5,13.8,0,6.2,299.4,25.8,10
85,29.3,13.8,0,43.4,264.3,22.9,9
86.9,41.1,20.4,0,52.1,232.2,20,9
85.7,33.3,16.9,0,4.3,299,25.8,10
85.2,36.9,19.7,0,0.2,301.4,26.2,10
87.2,37.4,18.5,0,20.5,301.2,26.3,10
87.7,42.4,22.3,0,29.9,263.9,22.8,9
88.4,46.5,25,0,26.4,268.6,23.2,10
87.2,47.8,26.9,0,32.9,274.3,23.6,10
88.6,46.2,25.1,0,8.5,310.9,26.8,10
89.4,42.2,21,0,29.3,263.2,22.6,8
90.2,39.3,17.9,0,29.9,310.8,26.9,10
90.4,50.2,27.5,0,7.6,315.8,27.2,10
88.4,49.2,27.5,0,1.8,296.3,25.6,9
87.6,34.4,16.7,0,0.1,323.1,28,10
86.9,29.9,14.2,0,0.3,321.6,27.8,10
87.6,33.7,15.7,0,16.8,285.7,24.5,9
89,48.1,29.8,0,12,306.1,26.5,10
90.7,41,18.5,0,18,295,25.6,9
91.1,40,19.7,0,5.4,314.6,27.3,10
90.6,24.7,9.9,0,2.4,328.7,28.4,10
92,26.2,10.4,0,1.6,324.3,28,10
92.4,27.4,10.7,0,0,324.8,28,10
92.6,37.7,16.5,0,1,322.5,27.8,10
93.8,42.5,18.3,0,15.9,302,25.9,10
94.3,48.5,22.4,0.012,33.6,281.9,24.3,9
